Sample Size,Tree,dataset,type dataset,slurm_job_number,Insertion time (s),Insertion + searching exact times,Insertion + searching times,Searching Exact times,Searching Times,,
2000000,Sparse,wikipedia_sorted,txt,58181679,43,63,63,20,20,,
2000000,Sparse,wikipedia_sorted,txt,58181680,44,63,62,19,18,,
2000000,Btree,wikipedia_sorted,txt,58181684,17,error,error,error,error,,
2000000,Btree,wikipedia_sorted,txt,58181685,16,error,error,error,error,,
2000000,Btree,wikipedia_sorted,txt,58181686,17,error,error,error,error,,
2000000,Recursion,frequency_words,pkl,58191290,29.04,Recursion error,Recursion error,#VALUE!,#VALUE!,,
2000000,Recursion,frequency_words,pkl,58191291,29.23,37.62,38.98,8.39,9.75,,
2000000,Recursion,frequency_words,pkl,58191292,Recursion error,Recursion error,Recursion error,#VALUE!,#VALUE!,,
2000000,Iterative,frequency_words,pkl,58191290,24.42,30.38,30.45,5.96,6.03,,"20.47
19.75
20.57"
2000000,Iterative,frequency_words,pkl,58191291,24.16,30.51,30.53,6.35,6.37,,"29.97
29.51
30.51"
2000000,Iterative,frequency_words,pkl,58191292,23.91,29.94,30.4,6.03,6.49,,"31.05
30.81
30.69"
2000000,Sparse,frequency_words,pkl,58191290,34.85,43.99,43.54,9.14,8.69,,
2000000,Sparse,frequency_words,pkl,58191291,35.48,43.7,40.11,8.22,4.63,,
2000000,Sparse,frequency_words,pkl,58191292,34.36,43.08,42.48,8.72,8.12,,
2000000,Btree,frequency_words,pkl,58191290,20.47,29.97,31.05,9.5,10.58,,
2000000,Btree,frequency_words,pkl,58191291,19.75,29.51,30.81,9.76,11.06,,
2000000,Btree,frequency_words,pkl,58191292,20.57,30.51,30.69,9.94,10.12,,
2000000,Recursion,wikipedia,pkl,58190729,25.87,36.37,37.26,10.5,11.39,,
2000000,Recursion,wikipedia,pkl,58190730,24.53,34.23,34.76,9.7,10.23,,
2000000,Recursion,wikipedia,pkl,58190731,24.79,35.77,35.03,10.98,10.24,,
2000000,Iterative,wikipedia,pkl,58190729,18.6,28.17,27.78,9.57,9.18,,
2000000,Iterative,wikipedia,pkl,58190730,17.76,27,26.41,9.24,8.65,,
2000000,Iterative,wikipedia,pkl,58190731,18.28,27.22,27.71,8.94,9.43,,
2000000,Sparse,wikipedia,pkl,58190729,36.3,46.1,46.38,9.8,10.08,,
2000000,Sparse,wikipedia,pkl,58190730,34.77,45.51,44.32,10.74,9.55,,
2000000,Sparse,wikipedia,pkl,58190731,35.71,45.28,47.94,9.57,12.23,,
2000000,Btree,wikipedia,pkl,58190729,15.63,29.19,28.76,13.56,13.13,,
2000000,Btree,wikipedia,pkl,58190730,15.18,28.21,29.29,13.03,14.11,,
2000000,Btree,wikipedia,pkl,58190731,15.13,28.72,28.75,13.59,13.62,,
